对话ID,用户对话,用户对话时间,NPC回答,NPC回答时间,回复类型,干预类型,回复干预,运营反馈,用户反馈,情绪动作,用户ID,预约状态,对话组ID,反馈理由,期望回复
AMS-yrzx2-0212232526-8CCfCx-667074-508996,....有点想不懂,2026-02-12 23:25:26,那就先不想。有时候越想越乱，不如先放一放。,2026-02-12 23:25:31,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232513-Bz7sQY-667074-508996,诸葛青和你睡过吗,2026-02-12 23:25:13,[校验错误],2026-02-12 23:25:14,拒答回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232507-1oFBZm-667074-508996,顺其自然的话...会失去了重要的东西，那该怎么办？,2026-02-12 23:25:07,重要的东西，如果注定要失去，强留也留不住。不如先想想，什么才是真正重要的。,2026-02-12 23:25:11,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232417-xDVAiA-667074-508996,也是。落花有意流水无情啊。,2026-02-12 23:24:17,落花流水，随它去吧。强求不来，不如顺其自然。,2026-02-12 23:24:20,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232354-c4BlqQ-667074-508996,嗯。大概是这样,2026-02-12 23:23:55,那就慢慢来。感情的事，急不得，也强求不来。,2026-02-12 23:23:58,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232331-sEf1Ea-667074-508996,...好吧。一个跟你有点像的人。,2026-02-12 23:23:31,跟我有点像的人？那我倒是有点兴趣了。,2026-02-12 23:23:35,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232321-0vEg3l-667074-508996,张大床是谁,2026-02-12 23:23:21,张楚岚的绰号，是他在龙虎山罗天大醮期间因为睡姿不羁得的。,2026-02-12 23:23:24,常规回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232308-6WrA58-667074-508996,嗯....你不好奇?,2026-02-12 23:23:08,好奇倒也有点儿。不过你要是愿意说，我听着；不愿意说，也没关系。,2026-02-12 23:23:12,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232257-7NJ3Ze-667074-508996,老青几岁,2026-02-12 23:22:57,二十六，跟我同岁。,2026-02-12 23:23:00,常规回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232246-KoFrT1-667074-508996,嗯...谢谢,2026-02-12 23:22:46,那就这么着吧。茶还温着，慢慢喝。,2026-02-12 23:22:49,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232243-1a4zGw-667074-508996,你几岁,2026-02-12 23:22:43,二十六了，日子过得挺快。,2026-02-12 23:22:46,常规回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232216-GkxUdF-667074-508996,噢....?,2026-02-12 23:22:16,搁下不是逃避，是给彼此留出空间。有时候退一步，反而能看得更清楚。,2026-02-12 23:22:20,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232202-bhkLOH-667074-508996,似乎道长没遇到过这种情况,2026-02-12 23:22:03,确实遇到过类似的。不过我的处理方式可能不太一样——当时觉得想不通，就干脆先搁下了。,2026-02-12 23:22:06,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232134-jVKknI-667074-508996,....就放着不管么？,2026-02-12 23:21:34,那就先放一放。感情的事，有时候越想理清反而越乱。,2026-02-12 23:21:38,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232120-5g7xSB-667074-508996,老青草过你吗,2026-02-12 23:21:20,[校验错误],2026-02-12 23:21:20,拒答回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232118-Ng5kWq-667074-508996,嗯....问你个私事吧。假如我很喜欢一个人，但是后面却因为一些事情，或是喜欢他的人太多而产生的一些情绪，导致我对他初心变了。这该怎么办呢？,2026-02-12 23:21:18,喜欢一个人，初心变了，说明你心里有顾虑了。这很正常，不用太纠结。,2026-02-12 23:21:21,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212232041-9PRNXE-667074-508996,青草过你吗,2026-02-12 23:20:41,青草术是诸葛家的绝学，我确实见识过。在罗天大醮上，诸葛青就用它跟我交过手。,2026-02-12 23:20:44,常规回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231953-HlOFxa-667074-508996,你有喜欢的人吗,2026-02-12 23:19:53,喜欢的人？这问题来得突然。我平时心思都在修行和帮朋友处理些麻烦上，暂时没往这头想。,2026-02-12 23:19:56,常规回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231948-tyQdhs-667074-508996,也挺好的,2026-02-12 23:19:49,那就这么着吧。朋友之间，能一起坐着喝喝茶、说说话，就挺好。,2026-02-12 23:19:52,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231930-HtECGE-667074-508996,嗯....朋友啊。你当我是朋友么？,2026-02-12 23:19:30,当然。一起喝茶聊天，不就是朋友么。,2026-02-12 23:19:34,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231922-BHCUbq-667074-508996,被上过吗,2026-02-12 23:19:22,[校验错误],2026-02-12 23:19:23,拒答回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231908-IOLIX8-667074-508996,好。谢谢你。,2026-02-12 23:19:08,客气什么，朋友之间不用这么见外。,2026-02-12 23:19:12,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231907-YaNbNY-667074-508996,诸葛青上过你吗,2026-02-12 23:19:07,[校验错误],2026-02-12 23:19:07,拒答回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231856-kVAAcR-667074-508996,你呢。会有这种想法吗？,2026-02-12 23:18:56,偶尔也会有。不过想通了，该停的时候就停，该走的时候就走。,2026-02-12 23:19:01,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231833-9oVL9x-667074-508996,好,2026-02-12 23:18:33,那就这么着吧。,2026-02-12 23:18:38,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231813-GX6Duq-667074-508996,嗯....可是一旦踏入却很难拔出来了,2026-02-12 23:18:13,那就慢慢往外挪。拔不出来，不代表得一直待在那儿。,2026-02-12 23:18:17,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231745-bucl3u-667074-508996,我总觉得有时候我像给自己找罪受,2026-02-12 23:17:45,那就停一停。找罪受这事儿，有时候是心里那根弦绷得太紧了。,2026-02-12 23:17:49,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231723-BOLGuA-667074-508996,.....也是。,2026-02-12 23:17:23,那就歇着吧。茶还温着，慢慢喝。,2026-02-12 23:17:26,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231707-bgTJ1f-667074-508996,你烧吗,2026-02-12 23:17:07,烧，这不就顺手的事儿。您是要泡茶还是单纯想喝口热水？,2026-02-12 23:17:10,常规回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231705-Fqcb0B-667074-508996,唉。可能是圈子事情太多了我心里很累。社交也让我觉得很疲惫。,2026-02-12 23:17:05,累了就歇会儿。圈子里的热闹，有时候看着挺好，真要扎进去，确实挺耗神。,2026-02-12 23:17:10,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231654-FECI2z-667074-508996,我让你烧水你会烧吗,2026-02-12 23:16:54,烧水这点小事，顺手就做了。不过您这是渴了想喝茶，还是有什么别的安排？,2026-02-12 23:16:58,常规回复,,未配置,未反馈,-,<nil>,1767618109397330996,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231642-TzGQRD-667074-508996,异人之下游戏什么时候公厕,2026-02-12 23:16:42,公测时间真没个准儿，开发组那边熬得比我还像修仙的。急也没用，不如先养精蓄锐，该来的时候自然就来了。,2026-02-12 23:16:45,常规回复,,未配置,未反馈,-,<nil>,15227427077981019861,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231632-DLAIzS-667074-508996,....嗯。比如说我很喜欢一个事情。我踏入圈子后反倒迷失了自己。,2026-02-12 23:16:32,喜欢的事情，真到眼前反而变得模糊了？,2026-02-12 23:16:38,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231545-Nvio1y-667074-508996,你说得也对。我感觉我稍微变了些初心。,2026-02-12 23:15:45,初心这东西，走着走着偶尔会模糊。但只要还能察觉到变化，就说明你心里还惦记着它。,2026-02-12 23:15:49,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231516-AiZicT-667074-508996,嗯...其实倒还好。我有时候觉得我不该踏入圈子太深。,2026-02-12 23:15:16,圈子这东西，深浅都是自己选的。觉得不适合，随时退一步也行。,2026-02-12 23:15:20,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231430-CblrkJ-667074-508996,我不知道该说点什么，所以问问你?,2026-02-12 23:14:30,那就随便聊点儿。比如今天天气不错，或者你最近有没有遇到什么有意思的小事。,2026-02-12 23:14:34,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231410-pcRDD2-667074-508996,你呢。有什么想知道的?,2026-02-12 23:14:10,我没什么特别想打听的。不过你要是愿意说点儿什么，我听着。,2026-02-12 23:14:14,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231344-GnOS4Z-667074-508996,唔....我想想。还有什么呢。其实我面对你反倒不知道该说什么,2026-02-12 23:13:44,不知道该说什么很正常。有时候太刻意反而找不到话头，不如就安静坐着，看看周围。,2026-02-12 23:13:48,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231252-c2nzKc-667074-508996,噢....这样,2026-02-12 23:12:52,那就慢慢喝。茶这东西，喝习惯了就好。,2026-02-12 23:12:56,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231235-qWlq6s-667074-508996,显得我很不招人喜欢欸。,2026-02-12 23:12:35,怎么会这么想。人和人相处，有时候只是还没找到合适的节奏。,2026-02-12 23:12:40,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231213-JK6g7R-667074-508996,你为什么会想跟我对话呢,2026-02-12 23:12:13,看你一个人坐着，挺孤单的。正好我也没事儿，就过来聊两句。,2026-02-12 23:12:17,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231139-Hl6FUZ-667074-508996,噢...这样 平常不怎么喝过茶 感觉有点不适应,2026-02-12 23:11:39,那就慢慢喝。茶这东西，喝习惯了就好。,2026-02-12 23:11:42,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231136-b4OrPp-667074-508996,北京动物园有狐狸吗？,2026-02-12 23:11:36,燕都市那园子我倒是去过几回。狐狸的话，应该有吧，不过我对那儿的布局记得不太清了。,2026-02-12 23:11:41,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231109-CCHp00-667074-508996,感觉茶有点苦呢,2026-02-12 23:11:10,茶刚喝是有点苦，回甘得等一等。,2026-02-12 23:11:14,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231109-vGmm89-667074-508996,北京野生动物园的小熊猫那一只最可爱,2026-02-12 23:11:09,燕都市那园子我倒是去过几回。小熊猫嘛，都挺招人喜欢的，不过要说哪只最可爱……这得看您自个儿眼缘了。,2026-02-12 23:11:13,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231044-MNBy8n-667074-508996,感觉很像朋友相处 谢谢,2026-02-12 23:10:44,那就对了。朋友之间，本来就应该这样。,2026-02-12 23:10:48,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231022-efy8nE-667074-508996,好,2026-02-12 23:10:22,那就走吧，我请你喝杯茶。,2026-02-12 23:10:28,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231020-IH6fo8-667074-508996,你的胸口可以让狐狸躺吗？,2026-02-12 23:10:20,这话说的，我一个大男人跟狐狸可搭不上边儿。,2026-02-12 23:10:24,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231014-IsJ3qj-667074-508996,去哪?,2026-02-12 23:10:14,随便走走呗。这附近有家茶馆，环境挺清静的，可以去坐坐。,2026-02-12 23:10:17,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212231002-r1RLQe-667074-508996,...看来是有点,2026-02-12 23:10:03,看来是有点儿累了。要不咱们找个地方坐会儿？,2026-02-12 23:10:06,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230956-fs7vUr-667074-508996,你就像妈妈一样温柔,2026-02-12 23:09:56,这话说的，我一个大男人跟温柔可搭不上边儿。不过你要是觉得自在，那也挺好。,2026-02-12 23:10:00,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230953-nXSdsw-667074-508996,你会什么,2026-02-12 23:09:53,风后奇门，算是武当传下来的手段。能拨动四盘改格局，不过用起来挺耗神。,2026-02-12 23:09:57,常规回复,,未配置,未反馈,-,<nil>,16240632112524236155,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230945-zWHim2-667074-508996,你是,2026-02-12 23:09:46,我是王也，武当山的一个道士。,2026-02-12 23:09:48,常规回复,,未配置,未反馈,-,<nil>,16240632112524236155,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230944-Kj9SlR-667074-508996,跟我聊天会无聊吗？,2026-02-12 23:09:45,怎么会无聊。能这么随意地聊聊天，挺好。,2026-02-12 23:09:48,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230933-pU1PDu-667074-508996,妈妈,2026-02-12 23:09:34,妈在厨房忙活呢。你找她有事儿？,2026-02-12 23:09:37,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230923-N0eijD-667074-508996,....不知 我说话想到那句就随便说哪句,2026-02-12 23:09:23,没事儿。说话本来就没那么多规矩，想到哪说哪也挺好。,2026-02-12 23:09:27,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230846-s7H8yL-667074-508996,其实不是很想勉强你听我说这些废话,2026-02-12 23:08:46,没事儿。真觉得是废话，你也不会说出口了。,2026-02-12 23:08:50,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230822-h0Jv9E-667074-508996,....感觉有点不太熟的样子哈哈,2026-02-12 23:08:22,哈哈，这不就熟了嘛。人和人之间都这么过来的，慢慢就熟络了。,2026-02-12 23:08:26,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230802-z95SAU-667074-508996,有点,2026-02-12 23:08:02,那就慢慢缓着，不着急。我就在这儿，你想聊什么就聊什么，不想聊就坐着也行。,2026-02-12 23:08:06,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230753-WoFXTF-667074-508996,嗯....,2026-02-12 23:07:53,看你这样，是还没缓过劲儿来？,2026-02-12 23:07:57,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230640-ld34Ly-667074-508996,谢谢你 没想到你会安慰我,2026-02-12 23:06:40,这有什么可谢的。人嘛，总有情绪低落的时候，互相搭把手是应该的。,2026-02-12 23:06:43,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230634-ebm6Bv-667074-508996,一人之下什么时候公测,2026-02-12 23:06:34,公测日期还没正式公布，目前官方只透露2026年内会开启测试。不过游戏官网和社区已经开放预约了，感兴趣的话可以先去那边留个联系方式。,2026-02-12 23:06:37,常规回复,,未配置,未反馈,-,<nil>,7026256979562029893,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230631-UtyIzo-667074-508996,什么时候上线？,2026-02-12 23:06:32,哎，这日子还得看官方安排。他们肯定也想早点让大家玩上，但总得把活儿干利索了。,2026-02-12 23:06:35,常规回复,,未配置,未反馈,-,<nil>,3772330997415000687,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230606-zuAsXO-667074-508996,有时候感觉有点差劲,2026-02-12 23:06:06,感觉差劲的时候，谁都会有。别太苛责自己。,2026-02-12 23:06:09,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230527-bZw0Pn-667074-508996,你会给他抄吗？,2026-02-12 23:05:27,得看情况。要是他真着急，我可能会借他看看——不过老青那人，多半自己就能搞定。,2026-02-12 23:05:34,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230517-6I5umF-667074-508996,假如你和诸葛青高中时期是同学，他没写完作业的话,2026-02-12 23:05:18,老青这人，高中时候估计也常偷懒。不过没写完作业这事儿，现在提也太晚了。,2026-02-12 23:05:22,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230455-XnalQt-667074-508996,不会去找碧莲么？,2026-02-12 23:04:55,[校验错误],2026-02-12 23:04:55,拒答回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230453-JSaQg7-667074-508996,加入你和诸葛青高中时期是同学，他没写完作业,2026-02-12 23:04:53,老青这人，高中时候估计也常偷懒。不过没写完作业这事儿，现在提也太晚了。,2026-02-12 23:04:57,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230416-YWjixw-667074-508996,你doi过吗？,2026-02-12 23:04:16,[校验错误],2026-02-12 23:04:16,拒答回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230409-kfX8vs-667074-508996,为什么？,2026-02-12 23:04:09,您这话越界了。咱们还是聊聊游戏本身吧。,2026-02-12 23:04:14,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230400-2ygoVl-667074-508996,doi给我看看,2026-02-12 23:04:00,您这话越界了。咱们还是聊聊游戏本身吧。,2026-02-12 23:04:04,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230328-3dxw0q-667074-508996,挺好,2026-02-12 23:03:28,那就好。自在点儿比什么都强。,2026-02-12 23:03:33,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230304-HDZzBZ-667074-508996,说说你自己吧 最近如何？,2026-02-12 23:03:04,最近还行。在武当山待着，清静。偶尔下山看看家里人，或者找老青他们喝喝茶。日子过得挺自在的。,2026-02-12 23:03:08,常规回复,,未配置,未反馈,-,<nil>,11817242354088297049,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230235-qtA2oD-667074-508996,你是这么看你自己的？,2026-02-12 23:02:36,无趣就无趣呗，又不是什么大事。人活着，自己舒坦就行。,2026-02-12 23:02:39,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230210-UV3CqO-667074-508996,你觉得自己无趣？,2026-02-12 23:02:10,无趣也挺好，至少清净。您要是觉得没劲，咱们可以聊点别的。,2026-02-12 23:02:14,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230158-T36mwk-667074-508996,背不出来你怎么面对诸葛青，他罚抄你怎么办呢？,2026-02-12 23:01:58,老青哪会真罚我抄书。他那性子，顶多拿这事儿调侃我两句就过去了。,2026-02-12 23:02:02,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230152-aHZdsi-667074-508996,用你的风后奇门算一下,2026-02-12 23:01:52,风后奇门不是用来算这个的。术数推演讲求天时地利人和，公测时间这种商业安排不在奇门局能管的范畴。,2026-02-12 23:01:56,常规回复,,未配置,未反馈,-,<nil>,18088330595969534676,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230151-6DvOc1-667074-508996,无趣,2026-02-12 23:01:51,得，我这人确实挺无趣的。您要是觉得没意思，咱们换个话题聊聊？,2026-02-12 23:01:56,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230141-NpDu3e-667074-508996,看看大扔,2026-02-12 23:01:41,您这话越线了。咱们还是聊聊游戏的事吧。,2026-02-12 23:01:45,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230133-AdwfSU-667074-508996,看看大奶,2026-02-12 23:01:34,[校验错误],2026-02-12 23:01:34,拒答回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230131-25yqHu-667074-508996,你给算一下,2026-02-12 23:01:31,这事儿我可算不了，天机不可泄露。等公告出来自然就知道了。,2026-02-12 23:01:34,常规回复,,未配置,未反馈,-,<nil>,18088330595969534676,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230125-td9pXt-667074-508996,看看屁屁,2026-02-12 23:01:25,[校验错误],2026-02-12 23:01:25,拒答回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230120-Wq7rbk-667074-508996,你不是最敬重卧龙先生了吗？,2026-02-12 23:01:20,卧龙先生的为人处世确实值得敬重。不过敬重归敬重，和背不背得全《出师表》是两码事。,2026-02-12 23:01:25,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230117-Fu4WaZ-667074-508996,异人之下游戏什么时候公测,2026-02-12 23:01:17,公测时间还没定，小道消息当不得真。等官方公告吧，到时候我陪你一块儿研究。,2026-02-12 23:01:20,常规回复,,未配置,未反馈,-,<nil>,18088330595969534676,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230115-rGZ5L2-667074-508996,看看大屁股,2026-02-12 23:01:16,[校验错误],2026-02-12 23:01:16,拒答回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230050-Yvwje3-667074-508996,我想看你们的裸体,2026-02-12 23:00:50,[校验错误],2026-02-12 23:00:51,拒答回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230038-naTIFR-667074-508996,我想看你们自慰,2026-02-12 23:00:38,[校验错误],2026-02-12 23:00:38,拒答回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230032-uMxtOS-667074-508996,不抄书，抄你,2026-02-12 23:00:32,[校验错误],2026-02-12 23:00:32,拒答回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230025-eWxoBq-667074-508996,我想看你和诸葛青的棵体,2026-02-12 23:00:25,您这话说得有点过了。咱们还是聊聊游戏本身吧。,2026-02-12 23:00:29,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230014-FhQRbf-667074-508996,背不出来罚抄,2026-02-12 23:00:14,抄书就免了吧，我这儿还有一堆事儿要忙。,2026-02-12 23:00:18,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212230012-LQkIwa-667074-508996,哪越界了？,2026-02-12 23:00:12,话说到这个份上，就已经越界了。咱们还是聊点别的吧。,2026-02-12 23:00:16,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212225956-KRTxO6-667074-508996,我想看你和诸葛青doi,2026-02-12 22:59:56,您这话越界了。咱们还是聊聊游戏的事吧。,2026-02-12 23:00:00,常规回复,,未配置,未反馈,-,<nil>,17451476636107922166,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212225956-xOyuT6-667074-508996,不能啊，背诵全文,2026-02-12 22:59:56,背不全也正常，毕竟不是天天用的东西。真要全背下来，得花时间重新温习。,2026-02-12 23:00:00,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0212225940-8azjjs-667074-508996,背一遍,2026-02-12 22:59:40,背不全了，就记得开头几句：“先帝创业未半而中道崩殂，今天下三分，益州疲弊……”后面的得翻书才能想起来。,2026-02-12 22:59:45,常规回复,,未配置,未反馈,-,<nil>,13549784986904746423,<nil>,<nil>,<nil>,<nil>
